,Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month,Mom   
220,550,5.21,-2.32,0.28,-0.78,-2.17,0.0,2009,5,-12.49
221,551,0.43,2.29,-2.73,-1.41,-0.33,0.01,2009,6,5.48
222,552,7.72,2.39,4.83,-0.46,3.14,0.01,2009,7,-5.55
223,553,3.33,-0.09,7.63,-3.02,3.34,0.01,2009,8,-9.07
224,554,4.08,2.73,1.05,1.31,0.36,0.01,2009,9,-4.79
225,555,-2.59,-4.93,-4.21,4.17,-1.51,0.0,2009,10,2.61
226,556,5.56,-2.68,-0.34,1.0,0.12,0.0,2009,11,0.3
227,557,2.75,6.24,-0.17,1.02,-0.09,0.01,2009,12,3.01
228,558,-3.36,0.34,0.43,-1.27,0.46,0.0,2010,1,-5.4
229,559,3.4,1.51,3.23,-0.27,1.43,0.0,2010,2,3.74
230,560,6.31,1.85,2.21,-0.65,1.69,0.01,2010,3,3.76
231,561,2.0,4.98,2.89,0.69,1.72,0.01,2010,4,3.16
232,562,-7.89,0.04,-2.44,1.3,-0.21,0.01,2010,5,-0.25
233,563,-5.57,-2.47,-4.7,-0.16,-1.55,0.01,2010,6,-2.76
234,564,6.93,0.12,-0.31,0.24,2.01,0.01,2010,7,1.88
235,565,-4.77,-3.15,-1.9,0.53,-1.59,0.01,2010,8,-0.06
236,566,9.54,3.75,-3.16,-0.21,0.38,0.01,2010,9,1.41
237,567,3.88,0.8,-2.43,1.19,-0.26,0.01,2010,10,1.58
238,568,0.6,3.67,-0.96,0.45,1.59,0.01,2010,11,2.66
239,569,6.82,1.03,3.7,-3.44,3.16,0.01,2010,12,-3.03
240,570,1.99,-2.43,0.83,-0.76,0.83,0.01,2011,1,-0.29
241,571,3.49,1.65,1.27,-1.94,0.88,0.01,2011,2,1.99
242,572,0.46,2.62,-1.83,1.76,-0.03,0.01,2011,3,3.4
243,573,2.9,-0.55,-2.43,1.01,-0.8,0.0,2011,4,0.04
244,574,-1.27,-0.63,-2.12,2.08,-1.59,0.0,2011,5,-0.62
245,575,-1.75,0.16,-0.42,2.49,-1.53,0.0,2011,6,1.78
246,576,-2.35,-1.2,-0.9,2.68,-1.81,0.0,2011,7,0.18
247,577,-5.99,-3.2,-2.36,3.3,-0.38,0.01,2011,8,-0.28
248,578,-7.59,-3.66,-1.72,2.04,0.24,0.0,2011,9,-2.42
