,Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month,WML
190,196,-0.45,-1.93,2.15,0.31,0.71,0.42,2006,11,1.15
191,197,1.42,-2.11,1.22,0.86,-0.83,0.4,2006,12,3.65
192,198,0.4,0.31,0.22,-1.65,0.61,0.44,2007,1,-1.98
193,199,3.46,-1.17,2.75,-0.66,2.73,0.38,2007,2,0.09
194,200,-1.7,0.19,2.67,-2.17,1.67,0.43,2007,3,1.59
195,201,-2.75,-1.29,2.47,-1.85,0.44,0.44,2007,4,4.75
196,202,0.37,-3.5,0.16,0.33,-0.98,0.41,2007,5,0.06
197,203,-0.32,2.82,-0.66,0.56,-1.38,0.4,2007,6,2.06
198,204,-0.42,0.45,0.44,-3.15,0.35,0.4,2007,7,2.87
199,205,-3.8,-3.13,1.47,-0.31,3.49,0.42,2007,8,1.72
200,206,1.41,-2.88,0.06,-1.77,-0.89,0.32,2007,9,6.23
201,207,0.07,2.68,-5.29,1.5,-3.33,0.32,2007,10,-4.26
202,208,-2.29,-1.58,0.24,0.25,3.55,0.34,2007,11,-3.16
203,209,-3.99,-1.72,2.16,-0.76,1.13,0.27,2007,12,-0.32
204,210,-4.9,-0.51,3.85,-3.38,2.46,0.21,2008,1,-1.82
205,211,1.01,1.84,-0.64,-0.63,-1.51,0.13,2008,2,2.16
206,212,-3.71,3.06,1.7,-1.6,4.36,0.17,2008,3,3.03
207,213,6.22,-6.46,-1.29,0.51,-1.41,0.18,2008,4,-8.58
208,214,2.03,1.64,1.18,2.09,0.54,0.18,2008,5,-3.55
209,215,-6.61,1.62,3.68,-1.85,4.02,0.17,2008,6,4.67
210,216,-3.12,-1.32,2.31,-1.5,5.77,0.15,2008,7,0.85
211,217,-4.36,-2.58,1.13,-0.38,1.89,0.13,2008,8,3.39
212,218,-10.5,1.49,5.22,-3.84,5.01,0.15,2008,9,0.88
213,219,-13.55,4.67,4.53,-2.59,7.54,0.08,2008,10,8.45
214,220,0.05,4.2,-0.03,0.29,3.4,0.03,2008,11,5.78
215,221,8.57,0.8,0.26,-0.77,1.57,0.0,2008,12,1.23
216,222,-6.5,3.24,-0.1,-0.84,-0.32,0.0,2009,1,-1.05
217,223,-11.93,-1.08,0.6,0.97,-0.75,0.01,2009,2,-0.56
218,224,1.3,0.55,0.72,-1.69,-4.22,0.02,2009,3,-10.54
219,225,8.05,-4.46,-1.39,1.91,-5.78,0.01,2009,4,-15.6
220,226,10.89,2.14,-3.44,1.18,-4.59,0.0,2009,5,-8.94
221,227,2.85,4.92,0.05,0.0,-1.17,0.01,2009,6,-3.62
222,228,4.06,-1.3,0.61,3.53,-0.84,0.01,2009,7,-1.42
223,229,3.4,3.13,-0.39,0.13,-0.77,0.01,2009,8,-0.65
224,230,-0.84,1.83,-4.82,2.76,-1.99,0.01,2009,9,3.27
225,231,-2.29,-0.52,1.23,1.76,-1.47,0.0,2009,10,-0.72
226,232,-2.0,-3.6,-4.0,-0.8,-0.2,0.0,2009,11,-3.52
227,233,0.22,-2.66,6.21,3.44,1.41,0.01,2009,12,6.29
228,234,2.34,0.55,0.28,-0.63,-0.71,0.0,2010,1,-3.01
229,235,0.76,0.84,-1.33,-0.23,-0.15,0.0,2010,2,-2.0
230,236,4.83,-0.33,6.13,1.52,0.14,0.01,2010,3,3.17
231,237,0.53,4.88,1.07,0.5,0.47,0.01,2010,4,0.45
232,238,-7.93,1.4,-3.5,0.88,-0.23,0.01,2010,5,-1.35
233,239,-0.64,1.57,-3.18,-0.4,-0.16,0.01,2010,6,-1.49
234,240,2.94,-1.51,-1.36,-0.12,0.5,0.01,2010,7,1.68
235,241,-2.61,-0.72,0.71,2.07,-4.19,0.01,2010,8,0.32
236,242,4.69,-0.72,-1.59,-0.02,4.25,0.01,2010,9,1.78
237,243,1.23,-3.66,-0.85,1.3,-0.36,0.01,2010,10,-0.17
238,244,1.97,0.84,0.28,-1.87,4.18,0.01,2010,11,-1.76
239,245,7.55,3.12,1.33,-2.0,1.28,0.01,2010,12,-0.11
240,246,0.4,1.98,0.97,-0.54,2.14,0.01,2011,1,1.76
241,247,4.83,-0.13,1.09,-1.07,0.25,0.01,2011,2,0.51
242,248,-8.67,2.89,1.32,0.84,-0.65,0.01,2011,3,1.49
243,249,0.78,-1.26,-1.91,1.56,-0.77,0.0,2011,4,2.97
244,250,-1.62,-0.27,-0.12,0.39,0.05,0.0,2011,5,0.56
245,251,2.52,1.85,2.28,0.47,0.08,0.0,2011,6,-1.22
246,252,4.03,0.64,-0.42,0.98,-0.44,0.0,2011,7,1.73
247,253,-7.51,4.77,0.26,1.72,-1.06,0.01,2011,8,-2.34
248,254,-0.46,-0.44,3.36,0.02,-1.29,0.0,2011,9,-4.0
249,255,-1.19,-2.35,-2.43,1.02,1.33,0.0,2011,10,0.7
250,256,-3.78,2.15,0.43,-0.71,2.02,0.0,2011,11,0.86
251,257,1.25,1.24,1.42,0.53,-0.07,0.0,2011,12,1.8
252,258,4.28,2.33,2.47,-4.29,2.62,0.0,2012,1,-3.17
253,259,3.5,-3.14,0.45,-2.0,-0.38,0.0,2012,2,-8.52
254,260,1.41,1.55,-0.68,2.05,0.13,0.0,2012,3,1.93
255,261,-1.78,3.44,-2.29,2.86,-1.43,0.0,2012,4,4.52
256,262,-8.41,0.5,-0.71,1.44,-1.11,0.01,2012,5,3.59
257,263,4.71,-0.89,1.15,-1.32,0.76,0.0,2012,6,-1.04
258,264,-1.83,0.15,-3.41,0.21,-1.64,0.0,2012,7,6.76
259,265,-0.65,-0.04,-2.66,0.8,0.36,0.01,2012,8,4.21
260,266,2.27,-0.5,1.11,-1.6,-0.74,0.01,2012,9,0.77
261,267,-1.9,0.56,-1.65,0.83,0.96,0.01,2012,10,0.12
262,268,1.71,-0.56,0.84,-0.36,0.88,0.01,2012,11,-1.81
263,269,3.83,-1.77,7.07,-4.57,2.66,0.01,2012,12,-3.32
264,270,3.78,1.64,-1.1,0.52,0.24,0.0,2013,1,4.12
265,271,2.86,0.23,-0.74,-0.11,-0.12,0.0,2013,2,1.83
266,272,5.5,4.21,-3.64,1.2,-1.4,0.0,2013,3,7.94
267,273,8.95,1.51,-4.3,-0.62,-0.17,0.0,2013,4,7.19
268,274,-5.3,-0.17,-3.22,3.13,-2.29,0.0,2013,5,-6.42
269,275,0.83,-6.24,3.56,0.09,1.46,0.0,2013,6,-1.69
270,276,1.42,2.93,-0.48,1.05,-0.67,0.0,2013,7,2.18
