,Cnsmr,Manuf,HiTec,Hlth ,Other,Year,Month
1085,1.32,1.53,1.77,0.72,2.97,2016,12
1086,1.42,0.6,4.32,2.03,0.95,2017,1
1087,3.0,2.21,3.85,7.0,3.68,2017,2
1088,0.8,-0.19,1.86,0.04,-1.66,2017,3
1089,1.82,0.3,2.12,0.91,0.3,2017,4
1090,2.08,0.27,3.12,-0.26,-0.52,2017,5
1091,-1.22,0.24,-2.12,5.54,4.41,2017,6
1092,-0.06,2.31,3.97,0.7,1.36,2017,7
1093,-1.54,-0.72,1.98,2.59,-0.64,2017,8
1094,1.66,4.65,0.29,2.09,4.57,2017,9
1095,1.7,2.2,4.72,-2.26,2.08,2017,10
1096,5.9,3.11,1.52,2.46,3.91,2017,11
1097,2.02,1.58,0.59,-0.15,1.41,2017,12
1098,6.35,2.46,7.06,6.38,5.78,2018,1
1099,-5.26,-6.0,-1.21,-3.49,-3.28,2018,2
1100,-2.31,0.11,-3.07,-2.41,-2.63,2018,3
1101,1.09,1.38,-0.53,-0.04,0.62,2018,4
1102,0.59,2.36,5.67,2.37,1.34,2018,5
1103,3.31,0.11,0.5,1.48,-0.97,2018,6
1104,2.75,3.36,2.49,5.92,3.81,2018,7
1105,4.68,-0.83,6.59,4.5,2.27,2018,8
1106,0.32,1.53,0.12,2.08,-1.45,2018,9
1107,-6.01,-8.65,-7.62,-8.79,-6.74,2018,10
1108,2.08,2.47,-0.93,6.42,2.81,2018,11
1109,-9.88,-9.06,-8.23,-8.25,-10.94,2018,12
1110,8.1,8.96,8.7,5.32,9.8,2019,1
1111,1.09,4.16,5.39,3.3,2.96,2019,2
1112,2.85,0.72,3.32,0.5,-1.47,2019,3
1113,4.11,2.43,5.87,-3.16,6.63,2019,4
1114,-6.35,-8.25,-7.72,-3.4,-6.17,2019,5
1115,6.88,7.27,7.63,6.83,6.64,2019,6
1116,1.17,-0.39,3.26,-2.18,1.86,2019,7
1117,-0.64,-2.21,-2.17,-0.64,-4.69,2019,8
1118,1.34,3.83,1.18,-0.98,2.06,2019,9
1119,0.98,-0.74,3.04,4.68,3.11,2019,10
1120,2.2,1.55,4.83,5.61,5.07,2019,11
1121,2.24,3.02,3.39,3.46,2.41,2019,12
1948,9.62,5.33,14.77,13.57,7.31,1991,1
1949,12.52,10.4,13.95,21.35,15.05,1991,2
1950,8.69,4.4,11.18,15.84,7.21,1991,3
1951,2.35,1.83,5.73,4.23,3.02,1991,4
1952,4.4,2.86,1.07,6.14,2.69,1991,5
1953,-2.31,-3.47,-5.83,-4.34,-2.98,1991,6
1954,2.29,4.14,3.53,7.79,2.96,1991,7
1955,3.08,2.37,3.98,6.28,2.55,1991,8
1956,0.6,0.01,1.91,7.54,-0.77,1991,9
1957,1.15,2.09,3.43,10.53,1.33,1991,10
1958,-2.96,-1.89,-3.89,-0.44,-2.62,1991,11
1959,3.64,2.01,3.64,10.89,3.66,1991,12
1960,13.35,9.66,19.47,24.79,18.4,1992,1
1961,7.01,4.08,7.6,-1.07,6.94,1992,2
1962,-0.16,-0.29,-1.92,-7.11,-0.18,1992,3
1963,-4.37,-1.61,-5.07,-11.47,-1.09,1992,4
1964,-1.19,1.39,-1.35,-1.29,2.28,1992,5
1965,-4.44,-3.8,-6.76,-6.17,-2.18,1992,6
1966,2.19,2.57,1.54,3.69,3.7,1992,7
1967,-2.03,-2.32,-4.3,-3.92,-2.23,1992,8
1968,1.59,1.96,1.86,-1.5,1.5,1992,9
1969,3.16,0.78,3.75,3.86,1.29,1992,10
1970,8.52,4.88,10.42,12.35,5.73,1992,11
1971,3.36,2.66,4.83,0.97,5.27,1992,12
1972,6.2,6.01,7.21,3.2,9.19,1993,1
1973,-2.55,2.52,-2.21,-12.8,0.75,1993,2
1974,3.39,3.43,1.62,-0.06,3.76,1993,3
1975,-2.59,-0.42,-3.42,-4.09,-0.86,1993,4
1976,4.69,3.7,6.84,6.36,1.9,1993,5
1977,0.26,1.52,3.17,0.0,1.31,1993,6
1978,0.5,1.19,1.32,-2.58,3.1,1993,7
1979,2.76,4.64,6.77,1.93,3.6,1993,8
1980,2.44,0.8,3.82,4.39,3.43,1993,9
1981,4.26,2.29,5.9,6.9,3.34,1993,10
1982,-0.91,-3.09,-2.06,-4.45,-2.71,1993,11
1983,0.85,1.79,1.1,-0.76,1.5,1993,12
1984,2.47,5.45,5.69,6.4,5.29,1994,1
1985,-0.3,0.43,0.26,-2.88,-1.41,1994,2
1986,-3.83,-4.04,-4.87,-6.83,-3.57,1994,3
1987,-1.73,0.39,-2.14,-4.49,-0.61,1994,4
1988,-1.97,0.01,-1.0,-0.23,1.36,1994,5
1989,-3.7,-1.48,-5.05,-5.22,-0.9,1994,6
1990,0.86,2.64,2.54,-0.44,1.01,1994,7
1991,4.17,2.85,5.92,6.97,2.46,1994,8
1992,0.11,0.68,3.09,1.11,-0.23,1994,9
1993,-0.2,0.45,4.07,-1.51,-1.73,1994,10
1994,-4.45,-4.98,-2.87,-2.64,-5.24,1994,11
1995,-3.69,-0.18,0.93,-4.15,-0.57,1994,12
1996,1.61,1.22,3.84,7.27,4.07,1995,1
1997,2.31,2.88,4.56,2.71,3.26,1995,2
1998,0.37,1.45,3.8,3.19,1.53,1995,3
1999,1.21,2.31,4.04,2.13,2.27,1995,4
2000,-0.27,2.47,2.46,3.95,2.22,1995,5
2001,3.54,2.8,10.76,9.83,4.25,1995,6
