,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month
447,-2.76,-2.65,5.71,9.61,3.8,0.56,2000,10
448,-10.72,-0.58,12.3,13.07,8.43,0.51,2000,11
449,1.19,3.26,7.61,1.71,4.79,0.5,2000,12
450,3.13,5.48,-5.07,-4.69,-5.03,0.54,2001,1
451,-10.05,2.83,12.47,9.1,9.07,0.38,2001,2
452,-7.26,2.33,6.42,3.35,3.92,0.42,2001,3
453,7.94,-0.86,-4.67,-3.06,-3.2,0.39,2001,4
454,0.72,3.6,3.36,0.25,1.91,0.32,2001,5
455,-1.94,6.57,-1.12,1.6,-1.51,0.28,2001,6
456,-2.13,-2.82,5.21,7.42,3.07,0.3,2001,7
457,-6.46,2.71,2.31,4.05,6.57,0.31,2001,8
458,-9.25,-5.73,1.45,4.99,3.21,0.28,2001,9
459,2.46,5.27,-7.65,-2.98,-4.55,0.22,2001,10
460,7.54,-0.31,2.21,-3.73,-1.61,0.17,2001,11
461,1.6,5.16,0.84,0.34,-0.26,0.15,2001,12
462,-1.44,1.26,3.44,4.69,2.84,0.14,2002,1
463,-2.29,-0.36,2.16,8.07,5.11,0.13,2002,2
464,4.24,4.25,1.06,-1.78,0.58,0.13,2002,3
465,-5.2,6.72,3.88,4.56,5.38,0.15,2002,4
466,-1.38,-3.02,1.53,2.36,2.44,0.14,2002,5
467,-7.21,3.89,-0.05,3.93,2.51,0.13,2002,6
468,-8.18,-6.43,-3.85,3.79,-0.99,0.15,2002,7
469,0.5,-1.31,3.28,1.36,-1.47,0.14,2002,8
470,-10.35,3.08,1.47,3.29,-2.19,0.14,2002,9
471,7.84,-4.31,-3.95,-3.39,0.76,0.14,2002,10
472,5.96,2.91,-1.23,-9.2,5.15,0.12,2002,11
473,-5.76,0.62,2.14,6.29,-1.68,0.11,2002,12
474,-2.57,0.7,-0.83,-0.99,0.69,0.1,2003,1
475,-1.88,-0.93,-1.39,0.83,-0.62,0.09,2003,2
476,1.09,0.65,-1.93,1.87,-0.77,0.1,2003,3
477,8.22,1.02,1.14,-4.68,1.06,0.1,2003,4
478,6.05,4.81,0.4,-7.0,2.91,0.09,2003,5
479,1.42,1.66,0.11,0.51,-0.38,0.1,2003,6
480,2.35,4.54,-1.24,-4.14,1.78,0.07,2003,7
481,2.34,2.48,1.53,-2.25,2.14,0.07,2003,8
482,-1.24,0.54,0.16,1.01,0.34,0.08,2003,9
483,6.08,2.71,1.97,-1.35,1.55,0.07,2003,10
484,1.35,2.33,1.78,0.19,1.81,0.07,2003,11
485,4.29,-2.49,1.6,0.56,0.94,0.08,2003,12
486,2.15,2.45,2.49,-3.66,3.38,0.07,2004,1
487,1.4,-0.93,0.9,2.17,-1.21,0.06,2004,2
488,-1.32,2.1,0.27,1.56,-0.98,0.09,2004,3
