This file was created using the 202403 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199508  ,14.07  ,12.30  ,12.87   ,7.17  ,-0.81   ,4.80   ,3.24   ,9.24   ,3.37  ,-2.74   ,5.56   ,1.75   ,1.92   ,0.46  ,-1.73   ,1.76   ,1.30  ,-2.12  ,-0.71  ,-2.62  ,-1.45  ,-2.16   ,0.97  ,-2.68  ,-4.30
199509   ,1.37   ,2.80  ,-0.56  ,-1.26   ,1.68  ,-0.83   ,0.37   ,4.35   ,3.71   ,3.36  ,-0.20   ,0.80   ,0.49  ,-0.13   ,4.00   ,1.07  ,-0.07   ,2.59   ,2.56   ,0.70   ,0.46   ,3.29   ,2.54   ,3.33   ,4.62
199510  ,-4.80  ,-2.61  ,-4.72  ,-1.74  ,-1.85  ,-1.58  ,-2.37  ,-3.29  ,-1.12  ,-2.66  ,-5.44  ,-3.45  ,-1.34  ,-1.63  ,-0.46  ,-3.23  ,-0.25  ,-2.50  ,-2.36  ,-0.79   ,0.99   ,0.39   ,0.48  ,-2.35   ,2.98
199511  ,10.80   ,8.14   ,5.44   ,0.50   ,0.44  ,-0.94  ,-1.82   ,1.31   ,0.68   ,1.52   ,2.96  ,-2.61  ,-0.42   ,0.65   ,0.49   ,0.36   ,1.61   ,1.97   ,0.71   ,2.03   ,0.84   ,2.45  ,-0.02   ,1.82   ,1.16
199512  ,-0.14  ,-3.83   ,1.31   ,0.42  ,-1.26   ,1.35   ,6.09   ,2.59   ,2.20   ,1.49   ,5.47   ,2.03   ,1.72   ,4.02   ,2.56   ,0.94   ,4.80   ,4.69   ,2.67   ,2.35   ,3.80   ,3.02   ,4.89   ,2.86   ,3.83
199601  ,12.54   ,5.39   ,6.36   ,4.63   ,9.10   ,8.90   ,5.98   ,3.22   ,8.00  ,10.13   ,3.76   ,9.53   ,6.06   ,6.05   ,8.58  ,11.72   ,4.99   ,8.58   ,6.28  ,11.08   ,6.80   ,7.71  ,11.63   ,7.51  ,18.13
199602   ,4.81   ,2.05   ,2.47   ,4.64   ,3.56   ,3.57   ,0.78   ,2.59   ,1.41   ,1.64   ,2.94  ,-0.15   ,1.80   ,2.83   ,2.68  ,-0.76   ,2.70   ,2.93   ,3.67   ,3.10   ,1.38   ,0.91  ,-1.50   ,0.31  ,-2.83
199603   ,0.13  ,-1.55   ,0.63  ,-0.29   ,0.18   ,0.70  ,-1.74  ,-1.01   ,0.92  ,-1.77  ,-3.82   ,0.02   ,2.31   ,1.51  ,-2.38  ,-0.79   ,1.13   ,1.95  ,-0.95  ,-0.30  ,-0.49  ,-0.98  ,-1.41  ,-0.98  ,-0.31
199604   ,2.06   ,1.32   ,3.31   ,6.19   ,1.65   ,2.49   ,5.31   ,3.78   ,3.23   ,3.97   ,5.77   ,0.57   ,3.90   ,3.83   ,1.10   ,1.94   ,2.53   ,3.72   ,1.02   ,1.73   ,1.26   ,2.42   ,2.15   ,3.07  ,-0.66
199605   ,4.38   ,0.32   ,1.80   ,4.12   ,3.83   ,3.00   ,6.41   ,0.86   ,1.80  ,-1.10   ,1.07  ,-0.37  ,-1.41   ,1.25   ,0.72  ,-2.06   ,1.34  ,-1.96  ,-2.53   ,0.10   ,2.36   ,1.19   ,1.57  ,-0.14   ,2.16
199606  ,-4.10  ,-2.24  ,-3.82  ,-2.75  ,-0.96  ,-0.50  ,-3.80   ,0.04  ,-2.03  ,-0.79  ,-5.05  ,-0.99  ,-0.95  ,-0.23   ,0.14  ,-2.47  ,-2.99   ,1.15   ,0.07   ,1.62  ,-3.63  ,-1.72  ,-0.97  ,-0.86  ,-1.47
199607  ,-8.88  ,-6.59  ,-6.29  ,-4.99  ,-2.25  ,-9.09  ,-6.75  ,-2.69  ,-4.38  ,-2.22  ,-7.01  ,-6.49  ,-4.49  ,-5.77  ,-3.67  ,-5.50  ,-7.52  ,-3.78  ,-4.57  ,-1.32  ,-5.56  ,-4.68  ,-4.71  ,-5.03  ,-4.29
199608   ,7.48   ,5.11   ,5.36   ,3.04   ,2.57   ,6.87   ,6.10   ,3.58   ,6.09   ,0.17   ,7.64   ,8.29   ,3.68   ,1.55   ,1.65   ,3.97   ,4.53   ,6.74   ,5.02  ,-1.06   ,2.79   ,3.75   ,6.17   ,4.43   ,6.95
