,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Year,Month
1116,1.75,1.03,0.94,-2.68,3.47,2.05,0.91,-2.18,-1.01,1.86,2019,7
1117,-1.38,-4.76,-1.69,-8.74,-2.57,0.29,0.12,-0.64,3.44,-4.69,2019,8
1118,1.87,3.69,3.85,3.68,1.17,1.23,0.86,-0.98,3.93,2.06,2019,9
1119,0.07,7.15,0.08,-2.07,3.19,2.16,0.78,4.68,-1.39,3.11,2019,10
1120,2.18,2.69,3.28,1.16,5.23,2.49,2.16,5.61,-2.14,5.07,2019,11
1121,3.5,5.49,1.36,6.2,3.78,1.02,1.32,3.46,4.11,2.41,2019,12
2152,-5.2,-5.82,-7.7,-5.23,-10.03,-9.44,-3.9,-5.19,-6.07,-1.01,2008,1
2153,-0.99,-4.88,-0.22,7.27,-2.99,-6.69,-5.29,-1.63,-3.64,-4.47,2008,2
2154,-1.45,-3.46,-2.14,-2.25,-3.13,-1.29,-1.12,-5.66,0.17,-2.14,2008,3
2155,1.31,0.62,4.57,10.34,3.33,0.35,2.9,2.25,5.77,0.22,2008,4
2156,2.32,2.72,6.17,18.99,5.42,3.9,2.02,3.59,4.17,-0.28,2008,5
2157,-11.57,-14.82,-9.59,11.96,-8.43,-11.17,-11.31,-6.95,-2.91,-13.22,2008,6
2158,1.06,-1.12,0.82,-18.11,-0.8,-4.04,1.29,6.43,-2.02,2.9,2008,7
2159,3.26,-0.04,2.0,-1.47,2.05,3.12,5.39,-0.05,1.85,3.28,2008,8
2160,-6.5,-11.82,-15.93,-22.92,-14.4,-15.68,-9.46,-13.07,-8.13,-5.99,2008,9
2161,-21.33,-31.63,-25.38,-32.49,-22.43,-26.68,-23.99,-18.99,-10.29,-18.13,2008,10
2162,-16.45,-16.5,-15.44,-19.41,-14.29,-13.25,-18.64,-13.88,-0.72,-12.42,2008,11
2163,3.56,-3.12,2.27,-8.07,3.33,5.41,8.26,7.13,-0.11,1.8,2008,12
2164,-7.88,-6.13,-8.18,-1.89,0.54,-4.58,-4.72,6.24,-1.24,-9.22,2009,1
2165,-10.16,-17.29,-16.34,-19.73,-8.59,-9.45,-7.23,-11.77,-12.83,-12.11,2009,2
2166,9.26,19.56,10.32,8.62,12.46,12.99,18.06,13.58,3.27,12.78,2009,3
2167,27.79,38.75,27.77,24.33,20.41,24.68,34.96,13.85,3.92,18.49,2009,4
2168,12.71,4.38,6.98,28.74,8.43,10.59,7.15,18.4,3.21,6.62,2009,5
